Domestic Passenger - Departures Performed (Flights)  (March 2018 - March 2022)
Unit: (000)

Period,Total
"March 2018","708988"
"April 2018","704833"
"May 2018","736793"
"June 2018","746820"
"July 2018","775416"
"August 2018","773167"
"September 2018","699366"
"October 2018","734128"
"November 2018","688575"
"December 2018","698138"
"January 2019","677452"
"February 2019","617295"
"March 2019","740274"
"April 2019","720534"
"May 2019","753208"
"June 2019","755595"
"July 2019","785565"
"August 2019","786298"
"September 2019","719244"
"October 2019","753556"
"November 2019","706280"
"December 2019","731619"
"January 2020","711696"
"February 2020","670976"
"March 2020","623316"
"April 2020","220498"
"May 2020","214610"
"June 2020","279583"
"July 2020","421436"
"August 2020","452594"
"September 2020","389372"
"October 2020","419431"
"November 2020","428472"
"December 2020","436236"
"January 2021","417619"
"February 2021","369592"
"March 2021","509475"
"April 2021","525679"
"May 2021","579280"
"June 2021","633932"
"July 2021","681179"
"August 2021","678150"
"September 2021","625515"
"October 2021","644754"
"November 2021","630850"
"December 2021","617650"
"January 2022","580732"
"February 2022","544983"
"March 2022","642760"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
